taxa,taxon,C,N
Glossosomatidae,1,-37.4704,1.8722
Glossosomatidae,1,-38.1484,1.4552
Glossosomatidae,1,-37.4244,1.7182
Baetidae,2,-33.1047,2.3889
Baetidae,2,-33.7087,2.9619
Baetidae,2,-33.5847,2.6379
Chironomidae,3,-27.8958,1.3588
Chironomidae,3,-28.2928,1.6728
N. julio,4,-30.121,2.5504
N. julio,4,-30.261,2.9224
N. julio,4,-30.519,2.7344
P. pulchrus,5,-28.7508,0.9652
P. pulchrus,5,-28.1518,0.7582
P. pulchrus,5,-28.1458,1.0302
Libellulidae,6,-31.1088,2.243414286
Libellulidae,6,-31.3598,2.444628571
Libellulidae,6,-30.8778,2.575842857
X. elongata,7,-24.3165,2.1785
X. elongata,7,-26.5355,1.085714286
X. elongata,7,-31.0175,2.313928571
X. elongata,7,-24.7825,1.901142857
A. lanipes,8,-25.751,1.604357143
A. lanipes,8,-27.084,1.290571429
A. lanipes,8,-28.05092857,1.109
A. lanipes,8,-27.43285714,0.732
M. crenulatum,9,-25.9296,2.3461
M. crenulatum,9,-27.2716,2.2191
M. crenulatum,9,-28.8796,1.8191
M. crenulatum,9,-29.1906,1.3351
M. crenulatum,9,-27.7406,2.1571
M. crenulatum,9,-28.7396,2.5351
M. crenulatum,9,-27.6246,1.5051
A. evermani,10,-27.18635714,2.4982
A. evermani,10,-28.10728571,1.4852
A. evermani,10,-27.08621429,2.1402
L. mariana,11,-28.2696,2.568457143
L. mariana,11,-28.1996,1.943671429
L. mariana,11,-28.2946,1.949885714
