date,variable,stream,value,se
2017-06-23,,QPA,0.201791667,
2017-06-24,,QPA,0.206635417,
2017-06-25,,QPA,0.197677083,
2017-06-26,,QPA,0.21965625,
2017-06-27,,QPA,0.193333333,
2017-06-28,,QPA,0.206635417,
2017-06-29,,QPA,0.214333333,
2017-06-30,,QPA,0.203489583,
2017-07-01,,QPA,0.1929375,
2017-07-02,,QPA,0.184666667,
2017-07-03,,QPA,0.180947917,
2017-07-04,,QPA,0.205052083,
2017-07-05,,QPA,0.26215625,
2017-07-06,,QPA,0.202427083,
2017-07-07,,QPA,0.249302083,
2017-07-08,,QPA,0.256854167,
2017-07-09,,QPA,0.327583333,
2017-07-10,,QPA,0.228489583,
2017-07-11,,QPA,0.215760417,
2017-07-12,,QPA,0.213354167,
2017-07-13,,QPA,0.298927083,
2017-07-14,,QPA,0.25984375,
2017-07-15,,QPA,0.220791667,
2017-07-16,,QPA,0.211260417,
2017-07-17,,QPA,0.21103125,
2017-07-18,,QPA,0.21596875,
2017-07-19,,QPA,0.208333333,
2017-07-20,,QPA,0.202125,
2017-07-21,,QPA,0.215333333,
2017-07-22,,QPA,0.220020833,
2017-07-23,,QPA,0.218833333,
2017-07-24,,QPA,0.20884375,
2017-07-25,,QPA,0.212947917,
2017-07-26,,QPA,0.224375,
2017-07-27,,QPA,0.205447917,
2017-07-28,,QPA,0.198958333,
2017-07-29,,QPA,0.194645833,
2017-07-30,,QPA,0.194125,
2017-07-31,,QPA,0.22559375,
2017-08-01,,QPA,0.208104167,
2017-08-02,,QPA,0.21846875,
2017-08-03,,QPA,0.21221875,
2017-08-04,,QPA,0.2483125,
2017-08-05,,QPA,0.232666667,
2017-08-06,,QPA,0.242677083,
2017-08-07,,QPA,0.262666667,
2017-08-08,,QPA,0.236104167,
2017-08-09,,QPA,0.24171875,
2017-08-10,,QPA,0.235572917,
2017-08-11,,QPA,0.213447917,
2017-08-12,,QPA,0.203291667,
2017-08-13,,QPA,0.200802083,
2017-08-14,,QPA,0.226854167,
2017-08-15,,QPA,0.28809375,
2017-08-16,,QPA,0.2255625,
2017-08-17,,QPA,0.372791667,
2017-08-18,,QPA,0.26315625,
2017-08-19,,QPA,0.27821875,
2017-08-20,,QPA,0.332916667,
2017-08-21,,QPA,0.311302083,
2017-08-22,,QPA,0.27240625,
2017-08-23,,QPA,0.240614583,
2017-08-24,,QPA,0.240020833,
2017-08-25,,QPA,0.255604167,
2017-08-26,,QPA,0.23496875,
2017-08-27,,QPA,0.275666667,
2017-08-28,,QPA,0.262989583,
2017-08-29,,QPA,0.269822917,
2017-08-30,,QPA,0.258395833,
2017-08-31,,QPA,0.253395833,
2017-09-01,,QPA,0.25103125,
2017-09-02,,QPA,0.240979167,
2017-09-03,,QPA,0.247427083,
2017-09-04,,QPA,0.2246875,
2017-09-05,,QPA,0.225510417,
2017-09-06,,QPA,0.246895833,
2017-09-07,,QPA,0.333458333,
2017-09-08,,QPA,0.289604167,
2017-09-09,,QPA,0.244739583,
2017-09-10,,QPA,0.235770833,
2017-09-11,,QPA,0.27871875,
2017-09-12,,QPA,0.24590625,
2017-09-13,,QPA,0.228239583,
2017-09-14,,QPA,0.217708333,
2017-09-15,,QPA,0.215489583,
2017-09-16,,QPA,0.21353125,
2017-09-17,,QPA,0.210395833,
2017-09-18,,QPA,0.211822917,
2017-09-19,,QPA,0.232802083,
2017-09-20,,QPA,0.318544118,
2017-09-21,,QPA,0.31375,
2017-09-22,,QPA,0.293291667,
2017-09-23,,QPA,0.251802083,
2017-09-24,,QPA,0.237489583,
2017-09-25,,QPA,0.229677083,
2017-09-26,,QPA,0.224729167,
2017-09-27,,QPA,0.221572917,
2017-09-28,,QPA,0.22253125,
2017-09-29,,QPA,0.22240625,
2017-09-30,,QPA,0.237895833,
2017-10-01,,QPA,0.222635417,
2017-10-02,,QPA,0.211177083,
2017-10-03,,QPA,0.236802083,
2017-10-04,,QPA,0.225125,
2017-10-05,,QPA,0.226208333,
2017-10-06,,QPA,0.2223125,
2017-10-07,,QPA,0.216114583,
2017-10-08,,QPA,0.213197917,
2017-10-09,,QPA,0.240510417,
2017-10-10,,QPA,0.258375,
2017-10-11,,QPA,0.2413125,
2017-10-12,,QPA,0.220645833,
2017-10-13,,QPA,0.215729167,
2017-10-14,,QPA,0.2295625,
2017-10-15,,QPA,0.249729167,
2017-10-16,,QPA,0.309645833,
2017-10-17,,QPA,0.28559375,
2017-10-18,,QPA,0.259208333,
2017-10-19,,QPA,0.241135417,
2017-10-20,,QPA,0.234739583,
2017-10-21,,QPA,0.231239583,
2017-10-22,,QPA,0.227427083,
2017-10-23,,QPA,0.22403125,
2017-10-24,,QPA,0.220895833,
2017-10-25,,QPA,0.2189375,
2017-10-26,,QPA,0.216635417,
2017-10-27,,QPA,0.215645833,
2017-10-28,,QPA,0.215729167,
2017-10-29,,QPA,0.225333333,
2017-10-30,,QPA,0.213541667,
2017-10-31,,QPA,0.212416667,
2017-11-01,,QPA,0.21221875,
2017-11-02,,QPA,0.212,
2017-11-03,,QPA,0.206375,
2017-11-04,,QPA,0.2024375,
2017-11-05,,QPA,0.26934375,
2017-11-06,,QPA,0.21925,
2017-11-07,,QPA,0.216802083,
